,Año,País,Jornada,Equipo local,Equipo visitante,Últimos partidos local,Últimos partidos visitante,Puntos totales local,Puntos totales visitante,PG local,PG visitante,PE local,PE visitante,PP local,PP visitante,Goles a favor local,Goles a favor visitante,Goles en contra local,Goles en contra visitante,Porterías a cero local,Porterías a cero visitante,Total tiros local,Total tiros visitante,Posesión equipo local,Posesión equipo visitante,Disparos equipo local,Disparos equipo visitante,Disparos a puerta equipo local,Disparos a puerta equipo visitante,Tarjetas amarillas equipo local,Tarjetas amarillas equipo visitante,Tarjetas rojas equipo local,Tarjetas rojas equipo visitante,Faltas equipo local,Faltas equipo visitante,Córners equipo local,Córners equipo visitante,Paradas equipo local,Paradas equipo visitante,Resultado,Clustering local,Clustering visitante
2310,2015,IT,4,Udinese,Empoli,DDVDD,EDDDE,3.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,4.0,3.0,7.0,1.0,0.0,42.0,48.0,0.41,0.59,7,12,2,6,6,3,1,0,26,14,2,5,4,1,2,,
2311,2015,IT,4,Milan,Palermo,VVDVD,DVVVE,3.0,7.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,4.0,4.0,2.0,0.0,2.0,34.0,37.0,0.55,0.45,18,13,8,3,1,2,0,0,8,8,7,3,1,6,0,,
2312,2015,IT,4,Chievo,Inter,EDVVE,DVVVV,7.0,9.0,2.0,3.0,1.0,0.0,0.0,0.0,8.0,4.0,2.0,1.0,1.0,2.0,27.0,49.0,0.45,0.55,15,14,2,3,3,1,0,0,16,13,8,8,2,2,2,,
2313,2015,IT,4,Torino,Sampdoria,DVVVE,EEVEV,7.0,7.0,2.0,2.0,1.0,1.0,0.0,0.0,7.0,9.0,4.0,4.0,0.0,1.0,46.0,31.0,0.5,0.5,19,13,8,5,2,3,0,0,9,10,7,7,5,6,0,,
2314,2015,IT,4,Genoa,Juventus,VDDVD,VEDDE,3.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,0.0,43.0,57.0,0.5,0.5,7,13,0,4,3,4,1,0,21,23,1,2,3,0,2,,
2315,2015,IT,4,Roma,Sassuolo,VDEVV,VVVVE,7.0,7.0,2.0,2.0,1.0,1.0,0.0,0.0,5.0,5.0,2.0,3.0,1.0,1.0,58.0,33.0,0.67,0.34,21,12,7,4,2,3,0,0,15,15,11,3,2,5,1,,
2316,2015,IT,4,Atalanta,Hellas Verona,EDDVE,EEEDE,4.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,5.0,1.0,0.0,39.0,36.0,0.55,0.45,15,9,3,3,3,5,0,1,21,19,8,2,2,2,1,,
2317,2015,IT,4,Bologna,Frosinone,EEDDD,VDDDD,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,5.0,6.0,0.0,0.0,23.0,45.0,0.43,0.57,12,20,2,6,4,5,0,0,19,17,6,5,5,1,0,,
2318,2015,IT,4,Carpi,Fiorentina,DEDDE,VVVDV,1.0,6.0,0.0,2.0,1.0,0.0,2.0,1.0,5.0,4.0,9.0,3.0,0.0,2.0,44.0,32.0,0.34,0.66,12,8,3,2,3,4,0,0,21,15,4,3,1,3,2,,
2319,2015,IT,4,Napoli,Lazio,DDDEE,DVVDV,2.0,6.0,0.0,2.0,2.0,0.0,1.0,1.0,5.0,4.0,6.0,5.0,0.0,1.0,58.0,48.0,0.64,0.36,19,9,10,1,1,2,0,0,12,12,7,1,1,5,0,,
2320,2015,IT,5,Udinese,Milan,DVDDD,VDVDV,3.0,6.0,1.0,2.0,0.0,0.0,3.0,2.0,2.0,5.0,5.0,6.0,1.0,0.0,49.0,52.0,0.47,0.53,11,9,3,3,6,3,1,0,24,21,7,1,1,1,2,,
2321,2015,IT,5,Fiorentina,Bologna,VVDVV,EDDDV,9.0,3.0,3.0,1.0,0.0,0.0,1.0,3.0,5.0,2.0,3.0,5.0,3.0,1.0,40.0,35.0,0.72,0.28,18,3,4,1,1,2,0,0,15,12,6,0,1,2,0,,
2322,2015,IT,5,Inter,Hellas Verona,VVVVV,EEDEE,12.0,3.0,4.0,0.0,0.0,3.0,0.0,1.0,5.0,4.0,1.0,6.0,3.0,0.0,63.0,45.0,0.63,0.37,17,7,4,1,4,4,0,0,12,8,11,2,1,3,0,,
2323,2015,IT,5,Sampdoria,Roma,EVEVD,DEVVE,7.0,8.0,2.0,2.0,1.0,2.0,1.0,0.0,9.0,7.0,6.0,4.0,1.0,1.0,44.0,79.0,0.33,0.67,6,24,3,8,6,3,0,0,14,15,4,18,7,2,0,,
2324,2015,IT,5,Lazio,Genoa,VVDVD,DDVDD,6.0,3.0,2.0,1.0,0.0,0.0,2.0,3.0,4.0,2.0,10.0,4.0,1.0,1.0,57.0,50.0,0.57,0.43,10,10,3,3,4,4,0,2,19,12,10,3,3,1,0,,
2325,2015,IT,5,Juventus,Frosinone,EDDEV,DDDDD,4.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,4.0,1.0,4.0,7.0,1.0,0.0,70.0,65.0,0.69,0.31,36,9,7,1,2,3,0,0,16,10,10,5,0,6,1,,
2326,2015,IT,5,Palermo,Sassuolo,VVVED,VVVEE,7.0,8.0,2.0,2.0,1.0,2.0,1.0,0.0,6.0,7.0,5.0,5.0,2.0,1.0,50.0,45.0,0.49,0.51,9,13,2,4,2,6,1,0,21,15,2,5,3,2,2,,
2327,2015,IT,5,Chievo,Torino,DVVED,VVVEV,7.0,10.0,2.0,3.0,1.0,1.0,1.0,0.0,8.0,9.0,3.0,4.0,1.0,1.0,42.0,65.0,0.43,0.57,10,4,5,1,3,3,0,0,12,13,4,4,1,4,0,,
2328,2015,IT,5,Carpi,Napoli,EDDED,DDEEV,1.0,5.0,0.0,1.0,1.0,2.0,3.0,1.0,5.0,10.0,10.0,6.0,0.0,1.0,56.0,77.0,0.35,0.65,11,22,1,4,3,3,0,0,13,16,4,4,1,1,1,,
2329,2015,IT,5,Empoli,Atalanta,DDDEV,DDVEE,4.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,5.0,8.0,4.0,0.0,1.0,60.0,54.0,0.5,0.5,10,13,1,3,2,4,0,0,12,19,4,5,2,1,2,,
2330,2015,IT,6,Roma,Carpi,EVVED,DDEDE,8.0,2.0,2.0,0.0,2.0,2.0,1.0,3.0,8.0,5.0,6.0,10.0,1.0,1.0,103.0,67.0,0.68,0.32,17,13,10,6,1,1,0,0,13,14,6,6,4,5,0,,
2331,2015,IT,6,Napoli,Juventus,DEEVE,DDEVE,6.0,5.0,1.0,1.0,3.0,2.0,1.0,2.0,10.0,5.0,6.0,5.0,2.0,1.0,99.0,106.0,0.54,0.46,13,12,5,3,2,4,0,0,18,16,4,4,2,3,0,,
2332,2015,IT,6,Genoa,Milan,DVDDD,DVDVV,3.0,9.0,1.0,3.0,0.0,0.0,4.0,2.0,2.0,8.0,6.0,8.0,1.0,0.0,60.0,61.0,0.53,0.47,11,12,2,3,4,6,0,1,24,29,7,4,3,1,0,,
